id,final_status,category,subject,path,line,confidence,risk,proof_eligible,loc,bytes,status_reason
CRT-001,KEEP,orphan-file,.remember/tmp/last-ndc.ts,.remember/tmp/last-ndc.ts,,high,low,True,1,11,".remember is untracked local tool state, not repository source; cleanup must not delete user tool data."
CRT-002,KEEP,orphan-file,crates/plugin_runtime/src/host.ts,crates/plugin_runtime/src/host.ts,,medium,medium,False,661,20066,"Embedded at compile time by include_str!(""host.ts"") in crates/plugin_runtime/src/lib.rs."
CRT-003,KEEP,orphan-file,crates/plugin_runtime/src/termy.d.ts,crates/plugin_runtime/src/termy.d.ts,,medium,medium,False,340,8952,"Embedded at compile time by include_str!(""termy.d.ts"") in crates/plugin_runtime/src/lib.rs."
CRT-004,KEEP,orphan-file,crates/plugin_runtime/src/worker.ts,crates/plugin_runtime/src/worker.ts,,medium,medium,False,1631,56175,"Embedded at compile time by include_str!(""worker.ts"") in crates/plugin_runtime/src/lib.rs."
CRT-005,KEEP,orphan-file,skills/build-termy-plugins/assets/command-plugin/plugin.ts,skills/build-termy-plugins/assets/command-plugin/plugin.ts,,medium,medium,False,56,1497,Official command-plugin template referenced by skills/build-termy-plugins/SKILL.md and its examples reference.
CRT-006,KEEP,orphan-file,skills/build-termy-plugins/assets/native-ui-plugin/plugin.tsx,skills/build-termy-plugins/assets/native-ui-plugin/plugin.tsx,,medium,medium,False,161,5035,Official native-UI plugin template referenced by skills/build-termy-plugins/SKILL.md and its examples reference.
CRT-007,KEEP,orphan-file,website/source.config.ts,website/source.config.ts,,high,low,True,22,422,"Fumadocs convention entrypoint consumed by postinstall, typecheck, and build tooling."
CRT-008,KEEP,orphan-file,website/src/components/markdown.tsx,website/src/components/markdown.tsx,,medium,medium,False,167,5096,Imported by website/src/routes/releases/$slug.tsx.
CRT-009,KEEP,orphan-file,website/src/components/marketing-page-shell.tsx,website/src/components/marketing-page-shell.tsx,,medium,medium,False,165,5313,"Imported by the home, download, and release route modules."
CRT-010,KEEP,orphan-file,website/src/components/mdx.tsx,website/src/components/mdx.tsx,,high,low,True,15,386,Imported by website/src/routes/docs/$.tsx and participates in MDX typing.
CRT-011,KEEP,orphan-file,website/src/components/not-found.tsx,website/src/components/not-found.tsx,,medium,medium,False,11,304,Imported by website/src/router.tsx as the default not-found component.
CRT-012,KEEP,orphan-file,website/src/lib/github-release.ts,website/src/lib/github-release.ts,,medium,medium,False,289,7818,Imported by download and release route modules.
CRT-013,KEEP,orphan-file,website/src/lib/layout.shared.tsx,website/src/lib/layout.shared.tsx,,medium,medium,False,50,1145,Imported by docs routing and the not-found component.
CRT-014,KEEP,orphan-file,website/src/lib/sponsors.ts,website/src/lib/sponsors.ts,,medium,medium,False,36,848,The sponsors value is imported by website/src/routes/index.tsx.
CRT-015,REVIEW,unused-export,marketingPanelClass from website/src/components/marketing-page-shell.tsx,website/src/components/marketing-page-shell.tsx,164,medium,medium,False,0,0,"marketingPanelClass has no repository consumer and is a credible dead constant, pending website proof."
CRT-016,REVIEW,unused-export,GitHubReleaseYearGroup from website/src/lib/github-release.ts,website/src/lib/github-release.ts,208,medium,medium,False,0,0,GitHubReleaseYearGroup is used only inside its file; removing export narrows the module surface but needs typecheck proof.
CRT-017,REVIEW,unused-export,appName from website/src/lib/shared.ts,website/src/lib/shared.ts,1,medium,medium,False,0,0,"appName has no repository consumer and is a credible dead constant, pending website proof."
CRT-018,REVIEW,unused-export,Sponsor from website/src/lib/sponsors.ts,website/src/lib/sponsors.ts,4,medium,medium,False,0,0,Sponsor is used only inside its file; removing export narrows the module surface but needs typecheck proof.
CRT-019,KEEP,unused-export,FileRouteTypes from website/src/routeTree.gen.ts,website/src/routeTree.gen.ts,102,medium,medium,False,0,0,Generated TanStack Router declaration; repository instructions prohibit hand-editing routeTree.gen.ts.
CRT-020,KEEP,unused-export,FileRoutesByFullPath from website/src/routeTree.gen.ts,website/src/routeTree.gen.ts,68,medium,medium,False,0,0,Generated TanStack Router declaration; repository instructions prohibit hand-editing routeTree.gen.ts.
CRT-021,KEEP,unused-export,FileRoutesById from website/src/routeTree.gen.ts,website/src/routeTree.gen.ts,90,medium,medium,False,0,0,Generated TanStack Router declaration; repository instructions prohibit hand-editing routeTree.gen.ts.
CRT-022,KEEP,unused-export,FileRoutesByTo from website/src/routeTree.gen.ts,website/src/routeTree.gen.ts,79,medium,medium,False,0,0,Generated TanStack Router declaration; repository instructions prohibit hand-editing routeTree.gen.ts.
CRT-023,KEEP,unused-export,RootRouteChildren from website/src/routeTree.gen.ts,website/src/routeTree.gen.ts,138,medium,medium,False,0,0,Generated TanStack Router declaration; repository instructions prohibit hand-editing routeTree.gen.ts.
CRT-024,REVIEW,unused-dependency,p256 and rand_core direct dependencies from termy,crates/desktop_app/Cargo.toml,,high,low,False,3,120,"Static evidence and disposable-copy proof agree: the exact manifest and lockfile cleanup passed desktop check, 805 tests, formatting, boundaries, and cargo-machete."
